ID,Estacion,Actividad,Instruccion actual,Estado,Problema,AE relacionado,Correccion,Implementacion
M1-E2-AE2-4,2,"Lee y utiliza las especificaciones técnicas de proyectos de refrigeración y climatización, para conocer las indicaciones técnicas y el tipo de material que se empleará en la ejecución de los trabajos y poder determinar posibles interferencias o dificultades en las etapas del proyecto.",La ubicación propuesta del control no coincide entre dos planos. Justifica qué harías antes de escoger una ubicación.,Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE2,"Analiza la evidencia, selecciona la decisión profesional mejor fundamentada y justifícala. Identifica primero qué dato está disponible, qué falta y qué documento permitiría verificarlo. Una alternativa y una justificación escrita que cite un dato o documento. Terminas cuando seleccionas una alternativa y explicas por qué es válida sin agregar información no disponible.",REALIZADA
M1-E2-AE2-5,2,"Lee y utiliza las especificaciones técnicas de proyectos de refrigeración y climatización, para conocer las indicaciones técnicas y el tipo de material que se empleará en la ejecución de los trabajos y poder determinar posibles interferencias o dificultades en las etapas del proyecto.",Prepara una lista de tres comprobaciones para verificar que los accesorios identificados estén incluidos en el listado de materiales.,Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE2,"Analiza la evidencia, selecciona la decisión profesional mejor fundamentada y justifícala. Identifica primero qué dato está disponible, qué falta y qué documento permitiría verificarlo. Una alternativa y una justificación escrita que cite un dato o documento. Terminas cuando seleccionas una alternativa y explicas por qué es válida sin agregar información no disponible.",REALIZADA
M1-E2-AE2-6,2,"Lee y utiliza las especificaciones técnicas de proyectos de refrigeración y climatización, para conocer las indicaciones técnicas y el tipo de material que se empleará en la ejecución de los trabajos y poder determinar posibles interferencias o dificultades en las etapas del proyecto.",Describe una omisión que detectaste o podrías detectar y cómo comunicarías la corrección al equipo.,Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE2,"Revisa tu evidencia, identifica un error posible y propone una mejora verificable. Recupera la decisión de la etapa anterior y compárala con el criterio del AE. Una reflexión que nombre evidencia, error o límite, acción de mejora y forma de comprobarla. Terminas cuando la mejora puede ejecutarse y verificarse con una evidencia concreta.",REALIZADA
M1-E2-AE3-1,2,"Cubica elementos y materiales de acuerdo a los requerimientos del lugar, indicados en el plano respectivo mediante un software de diseño para determinar cantidad de materiales y elementos a emplear en la ejecución del proyecto. Se consideran las indicaciones de la Norma Chilena relativa a Cubicaciones (NCh353/2000), aplicada a proyectos de refrigeración, climatización, calefacción y ventilación.",Lee la orden de trabajo. ¿Qué decisión permite seguir con evidencia?,Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE3,"Analiza la evidencia, selecciona la decisión profesional mejor fundamentada y justifícala. Identifica primero qué dato está disponible, qué falta y qué documento permitiría verificarlo. Una alternativa y una justificación escrita que cite un dato o documento. Terminas cuando seleccionas una alternativa y explicas por qué es válida sin agregar información no disponible.",REALIZADA
M1-E2-AE3-2,2,"Cubica elementos y materiales de acuerdo a los requerimientos del lugar, indicados en el plano respectivo mediante un software de diseño para determinar cantidad de materiales y elementos a emplear en la ejecución del proyecto. Se consideran las indicaciones de la Norma Chilena relativa a Cubicaciones (NCh353/2000), aplicada a proyectos de refrigeración, climatización, calefacción y ventilación.",Interpreta la tabla. ¿Qué límite tiene la información?,Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE3,"Analiza la evidencia, selecciona la decisión profesional mejor fundamentada y justifícala. Identifica primero qué dato está disponible, qué falta y qué documento permitiría verificarlo. Una alternativa y una justificación escrita que cite un dato o documento. Terminas cuando seleccionas una alternativa y explicas por qué es válida sin agregar información no disponible.",REALIZADA
M1-E2-AE3-3,2,"Cubica elementos y materiales de acuerdo a los requerimientos del lugar, indicados en el plano respectivo mediante un software de diseño para determinar cantidad de materiales y elementos a emplear en la ejecución del proyecto. Se consideran las indicaciones de la Norma Chilena relativa a Cubicaciones (NCh353/2000), aplicada a proyectos de refrigeración, climatización, calefacción y ventilación.","Relaciona UE-01, UI-01 y su control con la leyenda del proyecto. Explica cómo rastrearías cada elemento entre documentos.",Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE3,"Analiza la evidencia, selecciona la decisión profesional mejor fundamentada y justifícala. Identifica primero qué dato está disponible, qué falta y qué documento permitiría verificarlo. Una alternativa y una justificación escrita que cite un dato o documento. Terminas cuando seleccionas una alternativa y explicas por qué es válida sin agregar información no disponible.",REALIZADA
M1-E2-AE3-4,2,"Cubica elementos y materiales de acuerdo a los requerimientos del lugar, indicados en el plano respectivo mediante un software de diseño para determinar cantidad de materiales y elementos a emplear en la ejecución del proyecto. Se consideran las indicaciones de la Norma Chilena relativa a Cubicaciones (NCh353/2000), aplicada a proyectos de refrigeración, climatización, calefacción y ventilación.",El recorrido atraviesa un espacio reservado a otro proyecto. Formula una consulta de coordinación con la información necesaria.,Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE3,"Analiza la evidencia, selecciona la decisión profesional mejor fundamentada y justifícala. Identifica primero qué dato está disponible, qué falta y qué documento permitiría verificarlo. Una alternativa y una justificación escrita que cite un dato o documento. Terminas cuando seleccionas una alternativa y explicas por qué es válida sin agregar información no disponible.",REALIZADA
M1-E2-AE3-5,2,"Cubica elementos y materiales de acuerdo a los requerimientos del lugar, indicados en el plano respectivo mediante un software de diseño para determinar cantidad de materiales y elementos a emplear en la ejecución del proyecto. Se consideran las indicaciones de la Norma Chilena relativa a Cubicaciones (NCh353/2000), aplicada a proyectos de refrigeración, climatización, calefacción y ventilación.","Explica cómo verificarías que la versión del plano, las etiquetas y el listado de materiales son coherentes.",Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE3,"Analiza la evidencia, selecciona la decisión profesional mejor fundamentada y justifícala. Identifica primero qué dato está disponible, qué falta y qué documento permitiría verificarlo. Una alternativa y una justificación escrita que cite un dato o documento. Terminas cuando seleccionas una alternativa y explicas por qué es válida sin agregar información no disponible.",REALIZADA
M1-E2-AE3-6,2,"Cubica elementos y materiales de acuerdo a los requerimientos del lugar, indicados en el plano respectivo mediante un software de diseño para determinar cantidad de materiales y elementos a emplear en la ejecución del proyecto. Se consideran las indicaciones de la Norma Chilena relativa a Cubicaciones (NCh353/2000), aplicada a proyectos de refrigeración, climatización, calefacción y ventilación.",Resume tu procedimiento de lectura de planos y plantea una mejora concreta para tu próxima revisión.,Completa,"La consigna indica la acción principal, pero no reúne en un solo lugar el recurso, la evidencia esperada y el criterio de término.",M1-AE3,"Revisa tu evidencia, identifica un error posible y propone una mejora verificable. Recupera la decisión de la etapa anterior y compárala con el criterio del AE. Una reflexión que nombre evidencia, error o límite, acción de mejora y forma de comprobarla. Terminas cuando la mejora puede ejecutarse y verificarse con una evidencia concreta.",REALIZADA
M1-E3-F01,3,Observación anotada,"Marca en la planta la leyenda, el trazo discontinuo y el recinto de la sala.",Completa,"La consigna original contiene un verbo observable, pero no explicita en conjunto el recurso, el producto y la condición de logro.",M1-AE1,Identifica y marca las zonas solicitadas en la imagen. Abre la imagen y comienza por la etiqueta o punto de referencia principal. Los puntos correctos marcados y una nota con el dato observado. Terminas cuando todos los puntos solicitados están marcados y la nota cita un dato visible.,REALIZADA
M1-E3-F02,3,Recorrido espacial interactivo,"Recorre UE-01, UI-01 y el control. Entra al recinto y contrasta etiquetas.",Completa,"La consigna original contiene un verbo observable, pero no explicita en conjunto el recurso, el producto y la condición de logro.",M1-AE2,"Recorre la representación espacial y examina los componentes indicados. Gira la vista, acércate al primer componente y abre cada punto. Al menos tres componentes inspeccionados y una conclusión breve. Terminas cuando inspeccionaste los componentes requeridos y relacionaste dos datos.",REALIZADA
M1-E3-F03,3,Secuencia en video,"Observa la secuencia de lectura de plano: cajetín, leyenda, trazado, interferencia.",Completa,"La consigna original contiene un verbo observable, pero no explicita en conjunto el recurso, el producto y la condición de logro.",M1-AE3,"Identifica un paso del procedimiento y registra el dato técnico que lo sustenta. Mira la secuencia una vez; luego vuelve al momento en que aparece el paso elegido. Un paso seleccionado y un dato visible del video. Terminas cuando registraste un paso y un dato, sin resumir todo el video.",REALIZADA
M1-E3-F04,3,Lectura de oficio,"Lee el cajetín: escala, revisión y recinto. Anota el dato, no el color.",Completa,"La consigna original contiene un verbo observable, pero no explicita en conjunto el recurso, el producto y la condición de logro.",M1-AE1,"Extrae el dato solicitado y conserva su unidad, etiqueta o revisión. Ubica el campo nombrado antes de copiar el valor. Dato transcrito con su unidad o referencia. Terminas cuando el dato puede rastrearse al recurso y no agregaste información supuesta.",REALIZADA
M1-E3-F05,3,Procedimiento,Ordena: identificar revisión → leer leyenda → ubicar equipos → registrar diferencias.,Completa,"La consigna original contiene un verbo observable, pero no explicita en conjunto el recurso, el producto y la condición de logro.",M1-AE2,Ordena los pasos del procedimiento y verifica su secuencia. Ubica primero la preparación y al final la comprobación. Secuencia completa en el orden técnico esperado. Terminas cuando todos los pasos están ubicados y la verificación queda al cierre.,REALIZADA
M1-E3-F06,3,Cubicación,"Los tramos A 2,5 m y B 150 cm no se suman en crudo. Unifica la unidad.",Completa,"La consigna original contiene un verbo observable, pero no explicita en conjunto el recurso, el producto y la condición de logro.",M1-AE3,Calcula el resultado solicitado usando una sola unidad. Convierte primero todas las medidas a la misma unidad y después opera. Cálculo y resultado con unidad. Terminas cuando el valor y la unidad son correctos y el cálculo usa solo los datos entregados.,REALIZADA
M1-E3-F07,3,Variación de contexto,Son las 18:40 en Valdivia y la luz del taller ya no alcanza. ¿Qué cambia en tu lectura?,Completa,"La consigna original contiene un verbo observable, pero no explicita en conjunto el recurso, el producto y la condición de logro.",M1-AE1,"Analiza la situación y registra una respuesta técnica basada en evidencia. Identifica el dato disponible y el dato que falta antes de responder. Respuesta breve con dato, decisión y pendiente. Terminas cuando la respuesta cita evidencia y distingue datos de suposiciones.",REALIZADA
M1-E3-F08,3,Antes / después,"Estado inicial: leyenda incompleta. Cierre: consulta documentada, no una suposición.",Completa,"La consigna original contiene un verbo observable, pero no explicita en conjunto el recurso, el producto y la condición de logro.",M1-AE2,"Analiza la situación y registra una respuesta técnica basada en evidencia. Identifica el dato disponible y el dato que falta antes de responder. Respuesta breve con dato, decisión y pendiente. Terminas cuando la respuesta cita evidencia y distingue datos de suposiciones.",REALIZADA
M1-E3-F09,3,Trabajo del error,Alguien pintó de azul líquido y succión. Reconstruye por qué falló la identificación.,Completa,"La consigna original contiene un verbo observable, pero no explicita en conjunto el recurso, el producto y la condición de logro.",M1-AE3,"Analiza la situación y registra una respuesta técnica basada en evidencia. Identifica el dato disponible y el dato que falta antes de responder. Respuesta breve con dato, decisión y pendiente. Terminas cuando la respuesta cita evidencia y distingue datos de suposiciones.",REALIZADA
M1-E3-F10,3,Argumentación breve,"Explica al maestro, en dos frases, por qué no se firma un plano con revisión distinta al listado.",Completa,"La consigna original contiene un verbo observable, pero no explicita en conjunto el recurso, el producto y la condición de logro.",M1-AE1,"Analiza la situación y registra una respuesta técnica basada en evidencia. Identifica el dato disponible y el dato que falta antes de responder. Respuesta breve con dato, decisión y pendiente. Terminas cuando la respuesta cita evidencia y distingue datos de suposiciones.",REALIZADA
M1-E3-F11,3,Términos pareados de oficio,Une sobre el plano: trazo discontinuo–función por leyenda; cota–medida verificada.,Completa,"La consigna original contiene un verbo observable, pero no explicita en conjunto el recurso, el producto y la condición de logro.",M1-AE2,"Relaciona cada elemento con su función, dato o proceso. Lee todas las opciones antes de formar la primera pareja. Todas las parejas completadas. Terminas cuando no quedan elementos sin relacionar y cada pareja responde al recurso.",REALIZADA
M1-E3-F12,3,Bitácora de turno,"Bitácora: qué viste, qué consultaste, qué quedó pendiente para el AE 1.",Completa,"La consigna original contiene un verbo observable, pero no explicita en conjunto el recurso, el producto y la condición de logro.",M1-AE3,"Analiza la situación y registra una respuesta técnica basada en evidencia. Identifica el dato disponible y el dato que falta antes de responder. Respuesta breve con dato, decisión y pendiente. Terminas cuando la respuesta cita evidencia y distingue datos de suposiciones.",REALIZADA
M1-E3-F13,3,Consulta acotada al Agente,"Una pregunta al Agente. Te devolverá otra pregunta, no la solución.",Completa,"La consigna original contiene un verbo observable, pero no explicita en conjunto el recurso, el producto y la condición de logro.",M1-AE1,"Analiza la situación y registra una respuesta técnica basada en evidencia. Identifica el dato disponible y el dato que falta antes de responder. Respuesta breve con dato, decisión y pendiente. Terminas cuando la respuesta cita evidencia y distingue datos de suposiciones.",REALIZADA
M1-E3-F14,3,Integración 3D,"En el mismo recinto aplica AE 1, 2 y 3: plano, especificación y cubicación.",Completa,"La consigna original contiene un verbo observable, pero no explicita en conjunto el recurso, el producto y la condición de logro.",M1-AE2,"Integra los tres AE al inspeccionar y explicar el recorrido. Recorre los componentes en orden de preparación, ejecución y verificación. Componentes inspeccionados y conclusión que conecte los tres AE. Terminas cuando la conclusión usa evidencia de los tres AE y declara lo pendiente.",REALIZADA
M1-E3-ENC001,3,Dossier sala 3°: planta R-B vs leyenda parcial,"Dossier sala 3°: planta R-B vs leyenda parcial. Producto pedido: Lista de inconsistencias con documento y revisión. Responde con un dato del plano, la leyenda, la ficha o las notas. Si no está en el documento, indica qué falta y a quién lo consultarías.",Completa,"La secuencia ya explicaba producto, recurso y evidencia; se agrega propósito y criterio de término en el mismo bloque.",M1-AE1,"Elabora el producto solicitado con evidencia trazable del oficio. Lee el producto pedido y localiza un dato en el plano, la leyenda, la ficha o las notas antes de redactar. Lista de inconsistencias con documento y revisión. Incluye dato visible, decisión y pendiente. Terminas cuando el texto tiene al menos 80 caracteres, entrega el producto pedido y señala la fuente del dato o la consulta necesaria.",REALIZADA
M1-E3-ENC002,3,Dossier cubierta: planta rev. C vs listado rev. A,"Dossier cubierta: planta rev. C vs listado rev. A. Producto pedido: Consulta: qué revisión manda y por qué. Responde con un dato del plano, la leyenda, la ficha o las notas. Si no está en el documento, indica qué falta y a quién lo consultarías.",Completa,"La secuencia ya explicaba producto, recurso y evidencia; se agrega propósito y criterio de término en el mismo bloque.",M1-AE1,"Elabora el producto solicitado con evidencia trazable del oficio. Lee el producto pedido y localiza un dato en el plano, la leyenda, la ficha o las notas antes de redactar. Consulta: qué revisión manda y por qué. Incluye dato visible, decisión y pendiente. Terminas cuando el texto tiene al menos 80 caracteres, entrega el producto pedido y señala la fuente del dato o la consulta necesaria.",REALIZADA
M1-E2-ENC003,2,"Cubicación NCh353: tramos 2,5 m + 150 cm","Cubicación NCh353: tramos 2,5 m + 150 cm. Producto pedido: Tabla en una sola unidad + total. Responde con un dato del plano, la leyenda, la ficha o las notas. Si no está en el documento, indica qué falta y a quién lo consultarías.",Completa,"La secuencia ya explicaba producto, recurso y evidencia; se agrega propósito y criterio de término en el mismo bloque.",M1-AE3,"Elabora el producto solicitado con evidencia trazable del oficio. Lee el producto pedido y localiza un dato en el plano, la leyenda, la ficha o las notas antes de redactar. Tabla en una sola unidad + total. Incluye dato visible, decisión y pendiente. Terminas cuando el texto tiene al menos 80 caracteres, entrega el producto pedido y señala la fuente del dato o la consulta necesaria.",REALIZADA
M1-E2-ENC004,2,"Cubicación: mismo vano 0,80 m y 1,10 m","Cubicación: mismo vano 0,80 m y 1,10 m. Producto pedido: Registro de discrepancia; no promediar. Responde con un dato del plano, la leyenda, la ficha o las notas. Si no está en el documento, indica qué falta y a quién lo consultarías.",Completa,"La secuencia ya explicaba producto, recurso y evidencia; se agrega propósito y criterio de término en el mismo bloque.",M1-AE3,"Elabora el producto solicitado con evidencia trazable del oficio. Lee el producto pedido y localiza un dato en el plano, la leyenda, la ficha o las notas antes de redactar. Registro de discrepancia; no promediar. Incluye dato visible, decisión y pendiente. Terminas cuando el texto tiene al menos 80 caracteres, entrega el producto pedido y señala la fuente del dato o la consulta necesaria.",REALIZADA
M1-E3-ENC005,3,Interferencia tubería/conducto sin cota,"Interferencia tubería/conducto sin cota. Producto pedido: Marca el cruce + dato que falta (altura). Responde con un dato del plano, la leyenda, la ficha o las notas. Si no está en el documento, indica qué falta y a quién lo consultarías.",Completa,"La secuencia ya explicaba producto, recurso y evidencia; se agrega propósito y criterio de término en el mismo bloque.",M1-AE1,"Elabora el producto solicitado con evidencia trazable del oficio. Lee el producto pedido y localiza un dato en el plano, la leyenda, la ficha o las notas antes de redactar. Marca el cruce + dato que falta (altura). Incluye dato visible, decisión y pendiente. Terminas cuando el texto tiene al menos 80 caracteres, entrega el producto pedido y señala la fuente del dato o la consulta necesaria.",REALIZADA
M1-E3-ENC006,3,Interferencia bandeja eléctrica vs retorno HVAC,"Interferencia bandeja eléctrica vs retorno HVAC. Producto pedido: Consulta de coordinación con ubicación. Responde con un dato del plano, la leyenda, la ficha o las notas. Si no está en el documento, indica qué falta y a quién lo consultarías.",Completa,"La secuencia ya explicaba producto, recurso y evidencia; se agrega propósito y criterio de término en el mismo bloque.",M1-AE1,"Elabora el producto solicitado con evidencia trazable del oficio. Lee el producto pedido y localiza un dato en el plano, la leyenda, la ficha o las notas antes de redactar. Consulta de coordinación con ubicación. Incluye dato visible, decisión y pendiente. Terminas cuando el texto tiene al menos 80 caracteres, entrega el producto pedido y señala la fuente del dato o la consulta necesaria.",REALIZADA
M1-E3-ENC007,3,Drenaje con origen y sin destino,"Drenaje con origen y sin destino. Producto pedido: Qué línea informa y qué no se puede afirmar. Responde con un dato del plano, la leyenda, la ficha o las notas. Si no está en el documento, indica qué falta y a quién lo consultarías.",Completa,"La secuencia ya explicaba producto, recurso y evidencia; se agrega propósito y criterio de término en el mismo bloque.",M1-AE2,"Elabora el producto solicitado con evidencia trazable del oficio. Lee el producto pedido y localiza un dato en el plano, la leyenda, la ficha o las notas antes de redactar. Qué línea informa y qué no se puede afirmar. Incluye dato visible, decisión y pendiente. Terminas cuando el texto tiene al menos 80 caracteres, entrega el producto pedido y señala la fuente del dato o la consulta necesaria.",REALIZADA
M1-E3-ENC008,3,Cruce sobre línea de lácteos (sin parar el frío),"Cruce sobre línea de lácteos (sin parar el frío). Producto pedido: Decisión + evidencia de planta/sección. Responde con un dato del plano, la leyenda, la ficha o las notas. Si no está en el documento, indica qué falta y a quién lo consultarías.",Completa,"La secuencia ya explicaba producto, recurso y evidencia; se agrega propósito y criterio de término en el mismo bloque.",M1-AE1,"Elabora el producto solicitado con evidencia trazable del oficio. Lee el producto pedido y localiza un dato en el plano, la leyenda, la ficha o las notas antes de redactar. Decisión + evidencia de planta/sección. Incluye dato visible, decisión y pendiente. Terminas cuando el texto tiene al menos 80 caracteres, entrega el producto pedido y señala la fuente del dato o la consulta necesaria.",REALIZADA
M1-E3-ENC009,3,Sprinklers vs eje de ducto,"Sprinklers vs eje de ducto. Producto pedido: Especialidades afectadas y consulta. Responde con un dato del plano, la leyenda, la ficha o las notas. Si no está en el documento, indica qué falta y a quién lo consultarías.",Completa,"La secuencia ya explicaba producto, recurso y evidencia; se agrega propósito y criterio de término en el mismo bloque.",M1-AE2,"Elabora el producto solicitado con evidencia trazable del oficio. Lee el producto pedido y localiza un dato en el plano, la leyenda, la ficha o las notas antes de redactar. Especialidades afectadas y consulta. Incluye dato visible, decisión y pendiente. Terminas cuando el texto tiene al menos 80 caracteres, entrega el producto pedido y señala la fuente del dato o la consulta necesaria.",REALIZADA
M1-E3-ENC010,3,Muro corrido vs acceso de mantención,"Muro corrido vs acceso de mantención. Producto pedido: Contraste planta vs terreno (dato ficticio). Responde con un dato del plano, la leyenda, la ficha o las notas. Si no está en el documento, indica qué falta y a quién lo consultarías.",Completa,"La secuencia ya explicaba producto, recurso y evidencia; se agrega propósito y criterio de término en el mismo bloque.",M1-AE2,"Elabora el producto solicitado con evidencia trazable del oficio. Lee el producto pedido y localiza un dato en el plano, la leyenda, la ficha o las notas antes de redactar. Contraste planta vs terreno (dato ficticio). Incluye dato visible, decisión y pendiente. Terminas cuando el texto tiene al menos 80 caracteres, entrega el producto pedido y señala la fuente del dato o la consulta necesaria.",REALIZADA
